N,BIBID,ITEMID,Code barre,D.CREATION,D.MODIF,Cote,Inventaire,Titre,Auteur,Staff-Note,ISBN-A,Item class,Nb Page,Date edition,Editeur,Prix
2563,1720405,2653360,'046200002596',10/11/2016,10/11/2016,-,inv. 19471 (4),Apprendre à chercher,"Luc Albarello préf. d'Etienne Bourgeois, Guy Bajoit",inv. 19471 (4),9.7828E+12,Monographie prêtable (50),197 p.,2012,De Boeck,-
2564,1720405,2653364,'046200002597',10/11/2016,10/11/2016,-,inv. 19471 (5),Apprendre à chercher,"Luc Albarello préf. d'Etienne Bourgeois, Guy Bajoit",inv. 19471 (5),9.7828E+12,Monographie prêtable (50),197 p.,2012,De Boeck,-
2565,1753807,2653366,'046200002598',10/11/2016,10/11/2016,-,inv. 19474,Code IFRS,"[rédigé par l'équipe rédactionnelle de la ""Revue fiduciaire comptable""] -",inv. 19474,978-2-7579-0387-2,Monographie prêtable (50),1 vol. (941 p.),impr. 2012,"Groupe ""Revue fiduciaire""",59 EUR
2566,1719642,2653368,'046200002599',10/11/2016,10/11/2016,-,inv. 19432,Mathématiques des marchés financiers,Mathieu Le Bellac et Arnaud Viricel préface de Jean-Philippe Bouchaud,inv. 19432,978-2-7598-0690-4,Monographie prêtable (50),1 vol. (197 p.),DL 2012,EDP sciences,21 EUR
2567,1686397,2653375,'046200002600',10/11/2016,10/11/2016,-,inv. 19470 (1),Analyse financière en IFRS,Patrick Piget -,inv. 19470 (1),9.78272E+12,Monographie prêtable (50),1 vol. (140 p.),impr. 2011,Economica,-
2568,1686397,2653376,'046200002601',10/11/2016,10/11/2016,-,inv. 19470 (2),Analyse financière en IFRS,Patrick Piget -,inv. 19470 (2),9.78272E+12,Monographie prêtable (50),1 vol. (140 p.),impr. 2011,Economica,-
2569,1720405,2653377,'046200002602',10/11/2016,10/11/2016,-,inv. 19471 (1),Apprendre à chercher,"Luc Albarello préf. d'Etienne Bourgeois, Guy Bajoit",inv. 19471 (1),9.7828E+12,Monographie prêtable (50),197 p.,2012,De Boeck,-
2570,1720405,2653381,'046200002603',10/11/2016,10/11/2016,-,inv. 19471 (3),Apprendre à chercher,"Luc Albarello préf. d'Etienne Bourgeois, Guy Bajoit",inv. 19471 (3),9.7828E+12,Monographie prêtable (50),197 p.,2012,De Boeck,-
2571,1726460,2653389,'046200002604',10/11/2016,10/11/2016,-,inv. 19477,Communication de crise et médias sociaux,Emmanuel Bloch -,inv. 19477,9.7821E+12,Monographie prêtable (50),209 p.,2012,Dunod,-
2572,1717101,2653534,'046200002605',10/11/2016,10/11/2016,-,inv. 19534,L'essentiel de la gestion budgétaire,Didier Leclère -,inv. 19534,978-2-212-55334-5,Monographie prêtable (50),172 p.,2012,Eyrolles,-
2573,1719008,2653536,'046200002606',10/11/2016,10/11/2016,-,inv. 19512,La finance islamique,Dhafer Saïdane -,inv. 19512,9.78286E+12,Monographie prêtable (50),128 p.,2011,Revue Banque Edition,-
2574,1711054,2653539,'046200002607',10/11/2016,10/11/2016,-,inv. 19510,La comptabilité en pratique,Alain Gandy -,inv. 19510,978-2-12-465335-5,Monographie prêtable (50),1 vol. (VIII-310 p.),impr. 2011,Afnor éd.,-
2575,1688286,2653540,'046200002608',10/11/2016,10/11/2016,-,inv. 19511,La croissance de l'entreprise,Frank Janssen préface de Roy Thurik,inv. 19511,9.7828E+12,Monographie prêtable (50),1 vol. (152 p.),DL 2011,De Boeck,-
2576,630665,2653541,'046200002609',10/11/2016,10/11/2016,-,inv. 19329,L'objectif de développement durable de l'organisation mondiale du commerce,Anne-Claire Chaumont préf. Thierry Garcia,inv. 19329,978-2-296-05914-6,Monographie prêtable (50),278 p.,2008,L'Harmattan,-
2577,1669386,2653549,'046200002610',10/11/2016,10/11/2016,-,inv. 19332,"Recueil de jurisprudence douanière, 1990-2010","Jean Pannier,... préface de Bernard Hatoux,...",inv. 19332,9.78272E+12,Monographie prêtable (50),1 vol. (VIII-706 p.),impr. 2010,Économica,-
2578,7276,2653551,'046200002611',10/11/2016,10/11/2016,-,inv. 19259,Traité de stratégie,Hervé Coutau-Bégarie -,inv. 19259,9.78272E+12,Monographie prêtable (50),998 p.,2011,Economica,198 F
2579,1681015,2653553,'046200002612',10/11/2016,10/11/2016,-,inv. 19262,Le contrat face à l'imprévu,Louis Thibierge préf. de Laurent Aynès,inv. 19262,9.78272E+12,Monographie prêtable (50),XVIII-552 p.,2011,Economica,59 EUR
2580,1717943,2653556,'046200002613',10/11/2016,10/11/2016,-,inv. 19528,Les achats collaboratifs,"Hugues Poissonnier, Michel Philippart, Nicolas Kourim préface de Jean-Claude Volot",inv. 19528,978-2-8041-6673-1,Monographie prêtable (50),1 vol. (210 p.),DL 2012,De Boeck,-
2581,917971,2653559,'046200002614',10/11/2016,10/11/2016,-,inv. 19533,L'essentiel de la finance l'usage des managers,"Pierre Cabane preface de Gilles Weil,...",inv. 19533,9.78221E+12,Monographie prêtable (50),XXVII-395 p.,2008,Eyrolles-d. d'Organisation,32 EUR
2582,1715114,2653561,'046200002615',10/11/2016,10/11/2016,-,inv. 19261,L' opération d'assurance dans la rémunération des salariés,Vincent Roulet Bernard Teyssié,inv. 19261,978-2-913397-90-3,Monographie prêtable (50),512 p.,-,Edition Panthéon-Assas,-
2583,1744293,2653562,'046200002616',10/11/2016,10/11/2016,-,inv. 19623,L' après auto-entreprise,[Philippe Colombié] [réalisé en collaboration avec la rédaction des éditions Francis Lefebvre],inv. 19623,9.78285E+12,Monographie prêtable (50),1 vol. (286 p.),impr. 2011,F. Lefebvre,38 EUR
2584,1764378,2653566,'046200002617',10/11/2016,10/11/2016,-,inv. 19621,La géopolitique en 1000 QCM,DIMITROVA Anna -,inv. 19621,978-2-7298-6698-3,Monographie prêtable (50),481p,2011,Ellipses,-
2585,1781831,2653567,'046200002618',10/11/2016,10/11/2016,-,inv. 19616,Conduire la transformation : Faut il mettre le feu pour transformer,"Patrick Besson, Hubert Heckman -",inv. 19616,9.7821E+12,Monographie prêtable (50),186 p.,2012,Dunod,-
2586,1747126,2653753,'046200002619',10/12/2016,10/12/2016,-,inv. 20460,Logistique & supply chain,"Michel Fender, Yves Pimor -",inv. 20460,9.7821E+12,Monographie prêtable (50),1 vol. (VIII-476 p.),DL 2013,"""L'Usine nouvelle""",-
2587,138997,2653757,'046200002620',10/12/2016,10/12/2016,-,inv. 17069,Logistique et supply chain management,"Pierre Medan, Anne Gratacap   Olivier Labasse , David James",inv. 17069,9.7821E+12,Monographie prêtable (50),1 vol. (XIII-287 p.),2007,Dunod,32 EUR
2588,872774,2653767,'046200002621',10/12/2016,10/12/2016,PR 4(2),inv. 7284,Technique et pratique de la gestion des stocks,Louis Gavault avec la participation de Annette Lauret,inv. 7284,2-7034-0164-7,Monographie prêtable (50),Pagination multiple,1980,J. Delmas,150 F
2589,1725389,2653894,'046200002622',10/12/2016,10/12/2016,-,inv. 19372,Marketing,"G�rard Lemoine,... -",inv. 19372,9.78231E+12,Monographie prêtable (50),1 vol. (III-235 p.),impr. 2012,Vuibert,24 EUR
2590,763711,2653900,'046200002623',10/12/2016,10/12/2016,-,inv. 19200,SQL,"Frédéric Brouard, Rudi Bruchez, Christian Soutou -",inv. 19200,9.78274E+12,Monographie prêtable (50),307 p.,2010,Pearson Education,-
2591,252084,2653905,'046200002624',10/12/2016,12/5/2018,PROD 182 (2 ),inv. 17240,Logistique et supply chain management,"Pierre Médan, Anne Gratacap préface d' Olivier Labasse, David James",inv. 17240,2-10-051747-3,Monographie prêtable (50),XIII-287 p.,2008,Dunod,-
2592,1654708,2653910,'046200002625',10/12/2016,10/12/2016,-,inv. 18751,Supply chain,Alain Chapdaniel -,inv. 18751,978-2-7462-3126-9,Monographie prêtable (50),234 p.,impr. 2010,Hermès science publications-Lavoisier,54 EUR
2593,1719559,2653911,'046200002626',10/12/2016,10/12/2016,-,inv. 19522,Comprendre le consommateur âgé,sous la dir. de Denis Guiot et Bertrand Urien -,inv. 19522,978-2-8041-6692-2,Monographie prêtable (50),200 p.,2012,De Boeck,-
2594,1716552,2653973,'046200002627',10/12/2016,10/12/2016,-,inv. 19551,Organisation industrielle,"Roxana Bobulescu, Faruk Ülgen préf. de Bernard Baudry",inv. 19551,978-2-8041-7089-9,Monographie prêtable (50),205 p.,2012,De Boeck,-
2595,1588657,2654366,'046200002628',10/13/2016,10/13/2016,-,inv. 19610,Gestion de patrimoine,coordonné par Arnaud Thauvron -,inv. 19610,9.7821E+12,Monographie prêtable (50),1 vol. (XVII-538 p.),impr. 2009,Dunod,42 EUR
2596,1203182,2653550,'046200002629',10/11/2016,10/13/2016,-,inv. 19333,L'unitéde gisement,Jean-Pierre Bouvet -,inv. 19333,2-7475-7435-0,Monographie prêtable (50),507 p.,2004,L'Harmattan,39 EUR
2597,620460,2654433,'046200002630',10/13/2016,10/13/2016,-,-,Audit combiné qualité/supply chain,Christian Hohmann -,-,2-7081-3219-9,Monographie prêtable (50),255 p.,2004,Ed. d'Organisation,35 EUR
2598,476850,2654437,'046200002631',10/13/2016,10/13/2016,-,inv. 19330,Problématiques de la logistique,Philippe Vallin -,inv. 19330,9.78272E+12,Monographie prêtable (50),163 p.,2008,Economica,-
2599,1764059,2653950,'046200002632',10/12/2016,10/12/2016,-,inv. 19668,Communiquer avec un petit budget,Pascal Chauvin -,inv. 19668,-,Monographie prêtable (50),166 p.,2012,Dunod,-
2600,1739500,2654445,'046200002634',10/13/2016,10/13/2016,-,inv. 19260,Droit international et européen des sociétés,"Michel Menjucq,... -",inv. 19260,2707612588,Monographie prêtable (50),449 p.,2001,Montchrestien,"Prix : 29 EUR : 190,23 F"
2601,1712809,2654477,'046200002635',10/13/2016,10/13/2016,-,inv. 19516,La responsabilité des dirigeants,Jean-Baptiste Rozès [publié par] NetPME,inv. 19516,978-2-12-465348-5,Monographie prêtable (50),1 vol. (XII-119 p.),impr. 2011,Afnor éd.,-
2602,53808,2654515,'046200002636',10/13/2016,10/13/2016,-,inv. 19523,Le contrôle interne bancaire et la fraude,"Jean-Luc Siruguet, Emmanuelle Fernandez, Lydia Koessler -",inv. 19523,2100495941,Monographie prêtable (50),278 p.,DL 2006,Dunod,-
2603,757432,2654525,'046200002637',10/13/2016,10/13/2016,GC,inv. 19515,La notation financière,"Éric Paget-Blanc, Nicolas Painvin -",inv. 19515,978-2-10-048426-3,Monographie prêtable (50),1 vol. (IX-292 p.),impr. 2007,Dunod,30 EUR
2604,1710143,2654582,'046200002638',10/13/2016,10/13/2016,-,inv. 19518,La statistique en clair,"François Grosjean, Jean-Yves Dommergues illustrations de Gilles Macagno",inv. 19518,978-2-7298-6398-2,Monographie prêtable (50),1 vol. (165 p.),impr. 2011,Ellipses,-
2605,1715572,2654583,'046200002639',10/13/2016,10/13/2016,-,inv. 19519,L'assurance islamique,"Cheikh Ali Mohyeddine Qurradaghi préf. Mohamed Nouri, trad. Mehrézia Labidi",inv. 19519,978-2-915147-17-9,Monographie prêtable (50),380 p.,2011,Editions Bayane,-
2606,1346597,2654588,'046200002640',10/13/2016,10/13/2016,-,inv. 16151 (2),Econométrie,Régis Bourbonnais -,inv. 16151 (2),2100079123,Monographie prêtable (50),329 p.,2003,Dunod,-
2607,8759,2654590,'046200002641',10/13/2016,10/13/2016,GC 1657 ( 5 ),-,Finance des Marchés,Chokri Mamoghli Dorra Gatti,-,9973828208,Monographie prêtable (50),297 p.,1999,C.L.E.,-
2608,1797581,2654591,'046200002642',10/13/2016,10/13/2016,-,inv. 16448 (1),Econométrie,Régis Bourbonnais -,inv. 16448 (1),2100079123,Monographie prêtable (50),329 p.,2004,Dunod,-
2609,1705136,2654592,'046200002643',10/13/2016,10/13/2016,-,inv. 20205,Économétrie,Régis Bourbonnais -,inv. 20205,9.7821E+12,Monographie prêtable (50),379 p.,2011,Dunod,-
2610,1794684,2654594,'046200002644',10/13/2016,10/13/2016,-,inv. 20967,"Audit et commissariat aux comptes, 2015-2016",[ouvrage réalisé par les Éditions Francis Lefebvre] [sous la direction de Pierre Sardet et Isabelle Torio-Valentin],inv. 20967,978-2-36893-074-8,Monographie prêtable (50),1 vol. (1597 p.),DL 2014,Éditions Francis Lefebvre,-
2611,179252,2654595,'046200002645',10/13/2016,10/13/2016,-,inv. 21103,Comportements organisationnels,"Stephen Robbins,Tim Judge, Philippe Gabilliet -",inv. 21103,2-7440-7160-9,Monographie prêtable (50),721.p,2006,Pearson education,-
2612,1498286,2654920,'046200002646',10/14/2016,10/14/2016,-,inv. 17410,Gestion fiscale,"Emmanuel Disle,... Jacques Saraf,... -",inv. 17410,978-2-10-051073-3,Monographie prêtable (50),1 vol. (XIII-346 p.),DL 2008,Dunod,-
2613,1614215,2654943,'046200002647',10/14/2016,10/14/2016,-,inv. 17210 (1),"Analyse financière des comptes consolidés, normes IAS-IFRS","Bruno Bachy, Michel Sion -",inv. 17210 (1),9.7821E+12,Monographie prêtable (50),270 p.,2009,Dunod,-
2614,1614215,2654948,'046200002648',10/14/2016,10/14/2016,-,inv. 17207 (2),"Analyse financière des comptes consolidés, normes IAS-IFRS","Bruno Bachy, Michel Sion -",inv. 17207 (2),9.7821E+12,Monographie prêtable (50),270 p.,2009,Dunod,-
2615,1314669,2654979,'046200002649',10/14/2016,10/14/2016,-,inv. 17703,الجديد في فقه القضاء,مجمع الاطرش للكتاب المختص -,inv. 17703,978-9973-718-34-1,Monographie prêtable (50),427 ص,2009,مجمع الاطرش للكتاب المختص,20 د- ت
2616,1154578,2656447,'046200002650',10/20/2016,10/20/2016,-,inv. 17197,Lexique thématique de la comptabilité,Joseph Antoine -,inv. 17197,2-8041-5369-4,Monographie prêtable (50),489 p.,2008,De Boeck,-
2617,60463,2656454,'046200002651',10/20/2016,11/24/2018,MAR 741,inv. 17327,Les plans marketing,Malcolm McDonald trad. de la 5è ed. anglaise par Pierre Chaix,inv. 17327,2-8041-4479-8,Monographie prêtable (50),618 p.,2004,De Boeck,50 EUR
2618,1826566,2656485,'046200002652',10/20/2016,10/20/2016,-,inv. 17244,Maitriser le diagnostic financier,Christian Hoarau -,inv. 17244,-,Monographie prêtable (50),"213 p.,",2008,Groupe Revue Fiduciaire,-
2619,1731297,2656514,'046200002653',10/20/2016,10/20/2016,-,inv. 17381 (1),Comptabilité des sociétés,Béatrice et Francis Grandguillot -,inv. 17381 (1),9.7823E+12,Monographie prêtable (50),287 p.,2008,Gualino d.,17 EUR
2620,1262797,2656526,'046200002654',10/20/2016,10/20/2016,-,inv. 17696,Rédiger des rapports efficaces,Michelle Fayet Jean Denis Commeignes,inv. 17696,9.7821E+12,Monographie prêtable (50),270p,2009,Dunod,-
2621,1533794,2656529,'046200002655',10/20/2016,10/20/2016,-,inv. 17692,Droit des soci�t�s et des groupes,Jean-Marc Moulin -,inv. 17692,978-2-297-01312-3,Monographie prêtable (50),1 vol. (224 p.),DL 2009,Gualino-Lextenso ed.,18 EUR
2622,574533,2656533,'046200002656',10/20/2016,10/20/2016,-,inv. 17694,Préparer et donner un éxposé,"Dominique Chassé, Richard Prégent -",inv. 17694,2-553-01-400-7,Monographie prêtable (50),79 p.,2005,Presses internationales polytechnique,-
2623,138392,2656547,'046200002657',10/20/2016,10/20/2016,-,inv. 17693,Prendre des notes vite et bien,"Gérard Hoffbeck, Jacques Walter -",inv. 17693,978-2-10-049811-6,Monographie prêtable (50),1 vol. (VIII-136 p.),DL 2007,Dunod,15 EUR
2624,1594036,2656548,'046200002658',10/20/2016,12/18/2018,MATH 341 (2),inv. 17650,Algèbre,"Jean-Pierre Lecoutre, Philippe Pilibossian -",inv. 17650,9.7821E+12,Monographie prêtable (50),1 vol. (IV-279 p.),impr. 2009,Dunod,-
2625,1609222,2656558,'046200002659',10/20/2016,10/20/2016,-,inv. 17660,Comptabilité et audit,"Robert Obert,... Marie-Pierre Mairesse,... -",inv. 17660,9.7821E+12,Monographie prêtable (50),1 vol. (XI-624 p.),DL 2009,Dunod,43 EUR
2626,1511487,2656615,'046200002660',10/20/2016,10/20/2016,-,inv. 17699,آراء المجلس الدستوري,أحمد بوعون حافظ بن صالح,inv. 17699,9.78997E+12,Monographie prêtable (50),215 ص.,2010,مجمع الأطرش للكتاب المختص,-
2627,1560586,2656625,'046200002661',10/20/2016,10/20/2016,-,inv. 17698,Une anthropologie juridique des droits de l'homme,Laurent Sermet préface d'Abdou Diouf,inv. 17698,978-2-914610-92-6,Monographie prêtable (50),1 vol. (266 p.),impr. 2009,Éd. des Archives contemporaines,34 EUR
2628,938871,2656629,'046200002662',10/20/2016,10/20/2016,GC,inv. 17504,Finance de marché,- -,inv. 17504,978-2-247-08152-3,Monographie prêtable (50),1088p.,2008,Dalloz,-
2629,757558,2656635,'046200002663',10/20/2016,10/20/2016,-,inv. 17418,L' analyse technique,"Thierry Béchu, Éric Bertrand, Julien Nebenzahl préface de Régis Rousselle,...",inv. 17418,978-2-7178-5442-8,Monographie prêtable (50),1 vol. (558 p.),DL 2008,Économica,35 EUR
2630,1514392,2656854,'046200002664',10/20/2016,12/13/2018,MACRO 412,inv. 17673,La crise financière du XXIe siècle,Abdelmajid Ammar -,inv. 17673,9.78997E+12,Monographie prêtable (50),332p.,2009,Global edition,-
2631,1789708,2657069,'046200002665',10/21/2016,10/21/2016,-,inv. 17684,Lexique de gestion et de management,"sous la direction de Alain-Charles Martinet, Ahmed Silem -",inv. 17684,978-2-10-052527-0,Monographie prêtable (50),625 p.,2008,Dunod,-
2632,151825,2657074,'046200002666',10/21/2016,10/21/2016,-,-,Analyse microeconomie,Bechir Talbi -,-,-,Monographie prêtable (50),410 p.,1993,Bchir Talbi,-
2633,1636248,2657076,'046200002667',10/21/2016,11/24/2018,MAR 755,inv. 17581,Créer un point de vente,"Pierre-Jean Richard, Sophie Sanchez -",inv. 17581,9.78221E+12,Monographie prêtable (50),159 p.,2009,Éd. d'Organisation,-
2634,1538083,2657083,'046200002668',10/21/2016,10/21/2016,-,inv. 17367,Marketing 2000e,"William M. Pride, O. C. Ferrell -",inv. 17367,-,Monographie prêtable (50),XXX-624 p.,2000,Houghton Mifflin Company,-
2635,1466391,2657386,'046200002669',10/24/2016,10/24/2016,-,inv.17685,Lexique de la banque et des marchés financiers,Blanche Sousi-Roubi Sébastien Dussart et Franck Marmoz,inv.17685,978-2-10-0532858,Monographie prêtable (50),325 p.,2009,Dunod,-
2636,57307,2657395,'046200002670',10/24/2016,10/24/2016,-,inv. 17700,اٍشكالات في نزاعات الشغل,عصام الأحمر -,inv. 17700,-,Monographie prêtable (50),438 ص.,2008,سيفاد للنشر,-
2637,938871,2657401,'046200002671',10/24/2016,10/24/2016,-,inv. 17141 (1),Finance de marché,- -,inv. 17141 (1),978-2-247-08152-3,Monographie prêtable (50),1088p.,2008,Dalloz,-
2638,1742992,2657406,'046200002672',10/24/2016,10/24/2016,-,inv. 17882,Gestion des compétences,Élisabeth Lecoeur préf. de Jean-Guy Millet,inv. 17882,9.7828E+12,Monographie prêtable (50),218 p.,2008,De Boeck,-
2639,92160,2657411,'046200002673',10/24/2016,12/3/2018,B.B 206 (2),inv. 17860,L'entreprise et la banque,"Jean-Christian Lointier, Jean-Louis Salvignol, Guy Buaillon préf. de Gérard Romedenne",inv. 17860,2-7178-5022-8,Monographie prêtable (50),525 p.,2006,Economica,47 EUR
2640,928322,2657413,'046200002674',10/24/2016,10/24/2016,-,inv. 17274,L'art de diriger,Robert Papin -,inv. 17274,978-2-10-052118-0,Monographie prêtable (50),448 p.,2008,Dunod,-
2641,1493063,2657444,'046200002675',10/24/2016,10/24/2016,MICRO 118,inv. 17866,Introduction à la microéconomie,Hal R. Varian trad. de la 7e édition américaine par Bernard Thiry,inv. 17866,9.78292E+12,Monographie prêtable (50),824 p.,2006,De Boeck,-
2642,1574078,2657467,'046200002676',10/24/2016,10/24/2016,-,inv. 17450,Réussir sa lettre de motivation,"Daniel Escaffre, Camille Fontaine, Jean Forgeot... [et al.] -",inv. 17450,9782-7590-0349-5,Monographie prêtable (50),(227 p.),impr. 2007,Studyrama,"10,95 EUR"
2643,1434301,2657474,'046200002677',10/24/2016,10/24/2016,MAR 623 (2),inv. 623 (2),Recherche marketing,"Marc Vandercammen, Martine Gauty-Sinéchal préf. de Roland Saintrond",inv. 623 (2),2804129314,Monographie prêtable (50),482 p.,1999,De Boeck & Lacier,-
2644,863729,2657492,'046200002678',10/24/2016,10/24/2016,-,-,Mercator,"Jacques Lendrevie, Julien Lévy, Denis Lindon -",-,2247051774,Monographie prêtable (50),1168 p.,2003,Dalloz,-
2645,56671,2657762,'046200002679',10/25/2016,10/25/2016,-,inv. 17258,Stratégie pour la création d'entreprise,Robert Papin -,inv. 17258,9.7821E+12,Monographie prêtable (50),404 p.,2003,Dunod,-
2646,63493,2657769,'046200002680',10/25/2016,10/25/2016,-,inv. 17678,Manuel de bibliographie générale,Marie-Hélène Prévoteau et Jean-Claude Utard -,inv. 17678,2-7654-0912-9,Monographie prêtable (50),1 vol. (524 p.),DL 2005,�d. du Cercle de la librairie,44 EUR
2647,1696746,2657778,'046200002681',10/25/2016,10/25/2016,-,inv. 17652,Gestion prévisionnelle et mesure de la performance,"Brigitte Doriath,... Christian Goujet,... -",inv. 17652,9.7821E+12,Monographie prêtable (50),1 vol. (VI-152 p.),DL 2009,Dunod,14 EUR
2648,1712659,2657781,'046200002682',10/25/2016,10/25/2016,-,inv. 17807,Construire son propre marketing,David Azoulay -,inv. 17807,978-2-84472-988-0,Monographie prêtable (50),1 vol. (169 p.),impr. 2007,Studyrama,15 EUR
2649,1063443,2657783,'046200002683',10/25/2016,10/25/2016,-,inv. 17811,Droit de la consommation,Sabine Bernheim-Desvaux -,inv. 17811,978-2-7590-0303-7,Monographie prêtable (50),1 vol. (366 p.),impr. 2008,Studyrama,"29,90 EUR"
2650,1704406,2657789,'046200002684',10/25/2016,10/25/2016,-,inv. 17810,Droit administratif des biens,Hervé Arbousset -,inv. 17810,9.78276E+12,Monographie prêtable (50),441 p.,2007,Ed. Studyrama,-
2651,675547,2657790,'046200002685',10/25/2016,10/25/2016,-,inv. 17491 (1),Finances des marchés,"Sébastien Bossu , Philippes Henorotte Préface de Paul wilmott",inv. 17491 (1),9.7821E+12,Monographie prêtable (50),XII-274 p.,2008,Dunod,-
2652,1533369,2657797,'046200002686',10/25/2016,12/8/2018,ENT.PRE 20 (1 ),inv. 17833,Le grand livre de la création d'entreprise,Claude Triquère -,inv. 17833,978-2-7590-0739-4,Monographie prêtable (50),1 vol. (367 p.),cop. 2009,Groupe Vocatis,25 EUR
2653,889831,2657800,'046200002687',10/25/2016,10/25/2016,GC,inv. 17859,Procédures de choix d'investissement,Cyrille Mandou Collab. de Beysul Aytac,inv. 17859,978-2-8041-5982-5,Monographie prêtable (50),168 p.,2009,De Boeck,-
2654,1789768,2657808,'046200002688',10/25/2016,10/25/2016,-,inv. 17710,الوسيط في قانون الشركات التجارية,أحمد الورفلي -,inv. 17710,9.78997E+12,Monographie prêtable (50),797 ص .,2015,مجمع الأطرش للكتاب المختص,-
2655,1602679,2657811,'046200002689',10/25/2016,10/25/2016,-,inv. 17708,المجلة التجارية,جويدة قيقة و منجية الجبالي -,inv. 17708,9.78997E+12,Monographie prêtable (50),286 ص.,2009,-,-
2656,1593920,2658384,'046200002690',10/26/2016,10/26/2016,-,inv. 17456,Trouver un job ou un stage à l'étranger,"Pascal Bonnemayre, Christelle Capo-Chichi, Elise Pierre -",inv. 17456,9.78276E+12,Monographie prêtable (50),239p.,2008,Groupe Vocatis(ex-groupe studyrama),-
2657,889232,2658396,'046200002691',10/26/2016,10/26/2016,-,inv. 17651,Amortissement et dépréciation,"par l'équipe rédactionnelle de ""RF comptable"" -",inv. 17651,978-2-7579-0047-5,Monographie prêtable (50),1 vol. (202 p.),DL 2007,"Groupe ""Revue fiduciaire""",-
2658,761534,2658402,'046200002692',10/26/2016,10/26/2016,-,inv. 17655,Contrôle fiscal,Jean-Pierre Casimir -,inv. 17655,978-2-7579-0023-9,Monographie prêtable (50),678 p.,DL 2007,"Groupe ""Revue fiduciaire""",59 EUR
2659,1536922,2658405,'046200002693',10/26/2016,10/26/2016,-,inv. 17702,التعليق على مجلة االحقوق العينية و قانون التحين,علي كحلون -,inv. 17702,978-9973-718-48-8,Monographie prêtable (50),728 ص.,2010,منشورات امجمع الاطرش للكتاب المختص,-
2660,139301,2658409,'046200002694',10/26/2016,10/26/2016,-,inv. 17330 (1),Exercices de marketing,"Sébastien Soulez, Said Halla, Thierry Himber -",inv. 17330 (1),978-2-297-01007-8,Monographie prêtable (50),1 vol. (282 p.),DL 2008,Gualino-Lextenso ed.,20 EUR
2661,1556722,2658411,'046200002695',10/26/2016,10/26/2016,-,inv. 17695,QCM de logique,Franck Attelan -,inv. 17695,9.78273E+12,Monographie prêtable (50),201 p.,2009,Ellipses,-
2662,1606249,2658428,'046200002696',10/26/2016,10/26/2016,DFI,inv. 17764,"Fiscal, 2010",[réalisé par les Éditions Francis Lefebvre] -,inv. 17764,978-2-85115-832-1,Monographie prêtable (50),1 vol. (1533 p.),impr. 2010,F. Lefebvre,126 EUR
2663,937766,2658436,'046200002697',10/26/2016,10/26/2016,-,inv. 17853,Prospective �a l'usage du manager,- -,inv. 17853,2-912647-10-X,Monographie prêtable (50),248 p,1996,Management et Societe (EMS),"21,5 eur"
2664,179466,2658970,'046200002698',10/27/2016,11/24/2018,MAR 730,inv. 17156,Les études de marché,Daniel Caumont -,inv. 17156,2-10-007241-2,Monographie prêtable (50),355 p.,2007,Dunod,-
2665,179428,2658976,'046200002699',10/27/2016,10/27/2016,-,inv. 17500 (1),Evaluez votre entreprise,- -,inv. 17500 (1),2-7117-8705-2,Monographie prêtable (50),219p,2007,vuibert,-
2666,1517296,2658983,'046200002700',10/27/2016,12/5/2018,PROD 181 (1 ),inv. 17277,Le modèle Toyota,Jeffrey Liker trad.de l'ang. pa rMonique Sperry,inv. 17277,9.78274E+12,Monographie prêtable (50),XXIV-391 p.,2009,Pearson,-
2667,1610897,2658986,'046200002701',10/27/2016,10/27/2016,-,inv. 17857,Profession directeur financier,Michel Sion -,inv. 17857,9.7821E+12,Monographie prêtable (50),257p.,2010,Dunod,-
2668,349733,2658989,'046200002702',10/27/2016,12/5/2018,PROD 186,inv. 17852,La validation intégrée,Daniel Mouton -,inv. 17852,978-2-10-051774-9,Monographie prêtable (50),XIII-210 p.,2008,Dunod,-
2669,675528,2658993,'046200002703',10/27/2016,11/27/2018,MAR 778,inv. 17851,Protéger sa marque,Cathrine Girard -,inv. 17851,9.78285E+12,Monographie prêtable (50),407 p.,2008,F.Lefebvre,-
2670,1580739,2659002,'046200002704',10/27/2016,12/20/2018,MON 152,inv. 17856,La monnaie,Franck Jarno -,inv. 17856,2-7011-3481-1,Monographie prêtable (50),143p.,2003,Belin,-
2671,1551352,2659011,'046200002705',10/27/2016,10/27/2016,ECO.ENT,inv. 17784 (2),Evaluation d'entreprise,Arnaud Thauvron -,inv. 17784 (2),978-2-7178-5798-6,Monographie prêtable (50),285p,2010,Econamica,-
2672,1551352,2659016,'046200002706',10/27/2016,10/27/2016,ECO.ENT,inv. 17898 (1),Evaluation d'entreprise,Arnaud Thauvron -,inv. 17898 (1),978-2-7178-5798-6,Monographie prêtable (50),285p,2010,Econamica,-
2673,1493523,2659025,'046200002707',10/27/2016,10/27/2016,-,inv. 17813,Economie du développement,"Dwight H. Perkins, Steven Radelet et David L. Lindauer trad. de l'américain par Bruno Baron-Renault",inv. 17813,9.78292E+12,Monographie prêtable (50),985 p.,2008,De Boeck,-
2674,917968,2659030,'046200002708',10/27/2016,10/27/2016,-,-,Piloter un projet d'organisation,Henri-Pierre Maders -,-,978-2-212-54143-4,Monographie prêtable (50),1 vol. (X-332 p.),impr. 2008,Eyrolles-d. d'Organisation,32 EUR
